,發明專利,商標,設計專利,總計
3_答辯階段,2021-020-I-CN,,,1.0
申請中,,"2024-012-T-TW, 2024-023-T-TW, 2024-029-T-TW, 2024-014-T-TW, 2024-011-T-TW, 2024-019-T-TW, 2024-027-T-TW, 2024-030-T-TW, 2024-020-T-TW, 2024-024-T-TW, 2024-032-T-TW, 2024-039-T-TW, 2024-038-T-TW, 2024-022-T-TW, 2024-007-T-TW, 2024-017-T-TW, 2024-016-T-TW, 2024-035-T-TW, 2024-040-T-TW, 2024-041-T-TW, 2024-009-T-TW, 2024-033-T-TW, 2024-003-T-TW, 2024-026-T-TW, 2024-008-T-TW, 2024-028-T-TW, 2024-015-T-TW, 2024-034-T-TW, 2024-010-T-TW, 2024-036-T-TW, 2024-031-T-TW, 2024-006-T-TW, 2024-002-T-TW, 2024-018-T-TW, 2024-037-T-TW, 2024-021-T-TW, 2024-013-T-TW, 2024-005-T-TW, 2024-004-T-TW, 2024-025-T-TW",,40.0
"已取得專利
登錄國：UP、英國","2019-002-I-EU, 2022-002-I-EU",,,3.0
審查中,"2022-001-I-PH, 2019-001-I-PH, 2022-006-I-US, 2022-003-I-MY, 2022-005-I-ID, 2019-003-I-MY",,,8.0
已取得專利,"2019-004-I-ID, 2013-001-I-TW, 2019-009-I-MY, 2021-013-I-JP, 2021-009-I-US, 2019-014-I-TW, 2022-009-I-TW, 2020-014-I-CN, 2021-004-I-TW, 2022-008-I-TW, 2020-013-I-KR, 2015-001-I-TW, 2022-004-I-JP, 2021-001-I-TW, 2019-012-I-JP, 2020-011-I-US, 2021-019-I-ID, 2019-008-I-PH, 2017-002-I-TW, 2021-005-I-CN, 2019-006-I-US, 2020-012-I-JP, 2022-007-I-TW, 2019-011-I-ID, 2018-001-I-TW, 2020-009-I-TW, 2019-010-I-US, 2021-017-I-JP, 2013-002-I-CN, 2018-002-I-CN, 2020-008-I-TW, 2021-008-I-US, 2017-001-I-CN",,"2016-004-D-CN, 2020-004-D-EU, 2020-005-D-KR, 2017-003-D-CN, 2015-003-D-CN, 2015-007-D-TW, 2016-005-D-CN, 2023-019-D-CN, 2015-010-D-CN, 2021-002-D-TW, 2020-002-D-CN, 2021-003-D-CN, 2016-007-D-TW, 2023-020-D-TW, 2017-004-D-TW, 2020-007-D-CN, 2016-001-D-TW, 2016-003-D-TW, 2015-004-D-TW, 2020-006-D-US, 2015-011-D-CN, 2015-008-D-CN, 2015-005-D-TW, 2015-002-D-CN, 2020-003-D-JP, 2020-001-D-TW, 2015-009-D-CN, 2016-006-D-CN, 2019-013-D-TW, 2016-002-D-TW",77.0
"已取得專利
登錄國：英國、德國、法國",2020-010-I-EU,,,2.0
"已取得專利
登錄國：德國、法國、英國、荷蘭",2019-005-I-EU,,,2.0
"已取得專利
登錄國：英國、德國及法國",2019-007-I-EU,,,2.0
4_維護階段,,,2015-006-D-TW,1.0
審查階段,"2021-006-I-CN, 2023-025-I-PH, 2023-035-I-US, 2021-015-I-PH, 2023-026-I-JP, 2021-018-I-MY, 2023-033-I-ID, 2023-017-I-CN, 2023-042-I-JP, 2023-041-I-US, 2021-010-I-ID, 2023-039-I-ID, 2023-031-I-MY, 2023-027-I-EU, 2023-040-I-EU, 2023-032-I-KR, 2023-028-I-CN, 2023-036-I-PH, 2023-043-I-JP, 2021-007-I-CN, 2023-038-I-KR, 2023-030-I-PH, 2023-022-I-MY, 2023-029-I-CN, 2023-021-I-CN, 2023-024-I-US, 2023-023-I-ID, 2021-012-I-MY, 2023-037-I-MY",,,29.0
領證階段,"2021-014-I-EU, 2023-018-I-TW, 2021-011-I-PH",,,3.0
"已取得專利
登錄國：UP",2023-034-I-EU,,,1.0
"已取得專利
登錄國：德國、法國、英國",2021-016-I-EU,,,1.0
"核駁確定
（無效）",,"2023-001-T-CN, 2023-005-T-CN, 2023-007-T-CN, 2023-003-T-CN",,4.0
核駁確定,,"2023-002-T-CN, 2023-006-T-CN, 2023-004-T-CN, 2023-008-T-CN",,4.0
註冊,,"2023-014-T-TW, 2023-016-T-TW, 2023-047-T-TW, 2023-011-T-TW, 2023-009-T-TW, 2023-013-T-TW, 2023-046-T-TW, 2024-001-T-TW, 2023-015-T-TW, 2023-044-T-TW, 2023-010-T-TW, 2023-012-T-TW, 2023-048-T-TW, 2023-045-T-TW",,14.0
總計,98.0,62.0,32.0,192.0
